Tau,Measure,CoCoLasso,ACoCoLasso,ShapACoCoLasso
tau = 0.75,,,,
,C,2.76 (0.47),2.58 (0.57),2.68 (0.51)
,IC,33.95 (4.69),7.33 (2.28),22.57 (3.53)
,PE,3.97 (1.23),3.64 (1.50),7.22 (2.30)
,MSE,8.22 (2.76),6.66 (2.92),14.39 (4.57)
tau = 1.25,,,,
,C,2.24 (0.74),2.06 (0.78),2.06 (0.75)
,IC,20.19 (3.70),13.08 (2.79),14.06 (2.91)
,PE,7.03 (1.33),6.77 (1.84),7.12 (2.26)
,MSE,11.31 (2.67),12.13 (3.49),13.14 (4.00)
