Tau,Measure,CoCoLasso,ACoCoLasso,ShapACoCoLasso
tau = 0.25,,,,
,C,4.04 (0.70),2.76 (0.91),2.78 (0.80)
,IC,47.31 (4.15),0.41 (0.68),0.32 (0.62)
,PE,0.65 (0.12),1.14 (0.28),1.18 (0.31)
,MSE,2.33 (0.49),2.21 (0.59),2.29 (0.52)
tau = 0.50,,,,
,C,3.03 (0.72),2.67 (0.85),2.49 (0.80)
,IC,5.72 (2.47),1.37 (1.41),0.62 (0.83)
,PE,1.64 (0.22),1.34 (0.32),1.49 (0.37)
,MSE,2.96 (0.45),2.55 (0.67),2.69 (0.58)
